City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
329,nioro,13.35,-15.75,88.72,31,80,0.58,GM,1668533540
330,nanortalik,60.1432,-45.2371,30.42,92,100,15.03,GL,1668533540
331,vestmanna,62.1564,-7.1664,49.12,87,100,35.68,FO,1668533541
332,arraial do cabo,-22.9661,-42.0278,84.16,78,75,8.05,BR,1668533541
333,kauhajoki,62.4333,22.1833,33.78,97,12,5.03,FI,1668533542
334,puerto escondido,15.85,-97.0667,85.03,58,0,5.75,MX,1668533417
335,makakilo city,21.3469,-158.0858,73.69,75,0,5.75,US,1668533542
336,clyde river,70.4692,-68.5914,1.63,60,20,8.05,CA,1668533543
337,mercedes,-34.6515,-59.4307,89.78,26,0,15.7,AR,1668533276
338,parry sound,45.3501,-80.033,30.25,59,100,8.9,CA,1668533544
339,alvdal,62.1077,10.6307,30.33,89,9,7.43,NO,1668533544
340,aranos,-24.1333,19.1167,86.41,9,1,10.69,NA,1668533546
341,sinnamary,5.3833,-52.95,85.6,63,20,12.82,GF,1668533546
342,sobolevo,54.4299,31.8996,34.65,96,100,5.59,RU,1668533546
343,marathon,44.9,-89.7668,33.04,91,100,6.91,US,1668533547
344,port lincoln,-34.7333,135.8667,51.48,68,29,7.81,AU,1668533423
345,umm lajj,25.0213,37.2685,78.94,68,0,8.01,SA,1668533547
346,guaranesia,-21.2992,-46.8025,81.95,52,95,4.23,BR,1668533548
347,saint-pierre,-21.3393,55.4781,71.91,49,0,11.5,RE,1668533548
348,verkhniy mamon,50.1635,40.3832,31.66,57,97,5.97,RU,1668533548
349,aurangabad,19.8833,75.3333,69.44,42,1,7.14,IN,1668533491
350,coxim,-18.5067,-54.76,95.11,32,66,5.66,BR,1668533549
351,le port,-20.9373,55.2919,73.36,54,82,4.34,RE,1668533549
352,leningradskiy,69.3833,178.4167,1.72,94,100,2.19,RU,1668533550
353,pilar,-9.5972,-35.9567,85.93,58,53,11.54,BR,1668533550
354,raudeberg,61.9875,5.1352,54.86,60,35,7.38,NO,1668533551
355,college,64.8569,-147.8028,15.75,82,100,0.0,US,1668533551
356,stawell,-37.05,142.7667,40.37,79,31,3.71,AU,1668533552
357,resistencia,-27.4606,-58.9839,90.09,25,0,4.61,AR,1668533552
358,divnomorskoye,44.5011,38.1353,46.99,57,5,3.4,RU,1668533553
359,chapleau,47.8405,-83.4034,19.49,93,100,6.91,CA,1668533553
360,silver city,32.7701,-108.2803,51.62,30,0,5.75,US,1668533534
361,sur,22.5667,59.5289,79.32,65,0,6.98,OM,1668533553
362,suntar,62.1444,117.6319,-23.42,98,65,4.21,RU,1668533554
363,wewak,-3.5534,143.6268,76.32,81,91,2.24,PG,1668533554
364,byron bay,-28.65,153.6167,59.7,71,0,9.19,AU,1668533332
365,ozuluama,21.6667,-97.85,63.68,87,100,7.76,MX,1668533555
366,comodoro rivadavia,-45.8667,-67.5,73.26,28,75,17.27,AR,1668533555
